%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847227601647E+018,77,1.52847227601612E+018,61664,0,0,0,0
1.52847227607536E+018,78,1.52847227607446E+018,61724,0,0,0,0
1.52847227609765E+018,79,1.52847227609721E+018,61744,0,0,0,0
1.52847227615667E+018,80,1.52847227615628E+018,61804,0,0,0,0
1.5284722762163E+018,81,1.52847227621596E+018,61864,0,0,0,0
1.52847227627528E+018,82,1.52847227627428E+018,61924,0,0,0,0
1.52847227629648E+018,83,1.52847227629606E+018,61944,0,0,0,0
1.52847227635427E+018,84,1.52847227635395E+018,62004,0,0,0,0
1.52847227637652E+018,85,1.52847227637603E+018,62024,0,0,0,0
1.52847227643641E+018,86,1.52847227643602E+018,62084,0,0,0,0
1.52847227649645E+018,87,1.52847227649603E+018,62144,0,0,0,0
1.52847227655631E+018,88,1.52847227655591E+018,62204,0,0,0,0
1.52847227661407E+018,89,1.52847227661377E+018,62264,0,0,0,0
1.52847227663634E+018,90,1.52847227663592E+018,62284,0,0,0,0
1.52847227669504E+018,91,1.52847227669472E+018,62344,0,0,0,0
1.528472276716E+018,92,1.52847227671569E+018,62364,0,0,0,0
1.52847227677604E+018,93,1.52847227677573E+018,62424,0,0,0,0
1.52847227683506E+018,94,1.52847227683473E+018,62484,0,0,0,0
1.52847227689306E+018,95,1.52847227689271E+018,62544,0,0,0,0
1.52847227691505E+018,96,1.52847227691474E+018,62564,0,0,0,0
1.52847227697488E+018,97,1.52847227697458E+018,62624,0,0,0,0
1.52847227703306E+018,98,1.52847227703271E+018,62684,0,0,0,0
1.52847227705488E+018,99,1.52847227705457E+018,62704,0,0,0,0
1.52847227711282E+018,100,1.5284722771125E+018,62764,0,0,0,0
1.52847227713502E+018,101,1.52847227713464E+018,62784,0,0,0,0
1.52847227719484E+018,102,1.52847227719445E+018,62844,0,0,0,0
1.52847227725285E+018,103,1.52847227725244E+018,62904,0,0,0,0
1.52847227727503E+018,104,1.52847227727461E+018,62924,0,0,0,0
1.52847227733376E+018,105,1.52847227733347E+018,62984,0,0,0,0
1.52847227735475E+018,106,1.52847227735441E+018,63004,0,0,0,0
1.52847227741478E+018,107,1.5284722774144E+018,63064,0,0,0,0
1.52847227747465E+018,108,1.52847227747435E+018,63124,0,0,0,0
1.52847227753377E+018,109,1.52847227753338E+018,63184,0,0,0,0
1.52847227759414E+018,110,1.52847227759345E+018,63244,0,0,0,0
1.5284722776518E+018,111,1.5284722776514E+018,63304,0,0,0,0
1.52847227767407E+018,112,1.52847227767363E+018,63324,0,0,0,0
1.52847227773368E+018,113,1.52847227773335E+018,63384,0,0,0,0
1.52847227779375E+018,114,1.5284722777934E+018,63444,0,0,0,0
1.52847227785361E+018,115,1.52847227785327E+018,63504,0,0,0,0
1.52847227791383E+018,116,1.52847227791351E+018,63564,0,0,0,0
1.52847227797269E+018,117,1.52847227797234E+018,63624,0,0,0,0
1.5284722779945E+018,118,1.52847227799362E+018,63644,0,0,0,0
1.52847227805251E+018,119,1.52847227805214E+018,63704,0,0,0,0
1.52847227811042E+018,120,1.52847227811009E+018,63764,0,0,0,0
1.52847227813365E+018,121,1.52847227813326E+018,63784,0,0,0,0
1.52847227819334E+018,122,1.52847227819254E+018,63844,0,0,0,0
1.52847227825272E+018,123,1.52847227825227E+018,63904,0,0,0,0
1.52847227831038E+018,124,1.52847227831006E+018,63964,0,0,0,0
1.52847227833228E+018,125,1.52847227833198E+018,63984,0,0,0,0
1.52847227839034E+018,126,1.52847227838999E+018,64044,0,0,0,0
1.52847227841228E+018,127,1.52847227841198E+018,64064,0,0,0,0
1.5284722784723E+018,128,1.52847227847197E+018,64124,0,0,0,0
1.5284722785303E+018,129,1.52847227852994E+018,64184,0,0,0,0
1.52847227855227E+018,130,1.52847227855199E+018,64204,0,0,0,0
1.52847227861128E+018,131,1.52847227861096E+018,64264,0,0,0,0
1.52847227863242E+018,132,1.52847227863206E+018,64284,0,0,0,0
1.5284722786913E+018,133,1.52847227869099E+018,64344,0,0,0,0
1.5284722787513E+018,134,1.52847227875099E+018,64404,0,0,0,0
1.52847227880924E+018,135,1.52847227880893E+018,64464,0,0,0,0
1.52847227883123E+018,136,1.52847227883094E+018,64484,0,0,0,0
1.52847227889121E+018,137,1.52847227889089E+018,64544,0,0,0,0
1.52847227895112E+018,138,1.52847227895081E+018,64604,0,0,0,0
1.52847227901134E+018,139,1.52847227901098E+018,64664,0,0,0,0
1.52847227907121E+018,140,1.52847227907085E+018,64724,0,0,0,0
1.52847227913012E+018,141,1.52847227912979E+018,64784,0,0,0,0
1.52847227915101E+018,142,1.52847227915073E+018,64804,0,0,0,0
1.52847227921015E+018,143,1.52847227920973E+018,64864,0,0,0,0
1.52847227926839E+018,144,1.528472279268E+018,64924,0,0,0,0
1.52847227929157E+018,145,1.52847227929085E+018,64944,0,0,0,0
1.52847227935002E+018,146,1.5284722793497E+018,65004,0,0,0,0
1.52847227940808E+018,147,1.52847227940771E+018,65064,0,0,0,0
1.5284722794299E+018,148,1.52847227942961E+018,65084,0,0,0,0
1.52847227949002E+018,149,1.52847227948964E+018,65144,0,0,0,0
1.52847227954788E+018,150,1.52847227954755E+018,65204,0,0,0,0
1.52847227956998E+018,151,1.52847227956963E+018,65224,0,0,0,0
1.52847227962987E+018,152,1.52847227962952E+018,65284,0,0,0,0
1.52847227969003E+018,153,1.52847227968962E+018,65344,0,0,0,0
1.52847227974897E+018,154,1.52847227974856E+018,65404,0,0,0,0
1.52847227977062E+018,155,1.52847227977028E+018,65424,0,0,0,0
1.52847227982981E+018,156,1.5284722798295E+018,65484,0,0,0,0
1.52847227988883E+018,157,1.52847227988841E+018,8,0,0,0,0
1.52847227990967E+018,158,1.52847227990935E+018,28,0,0,0,0
1.52847227996878E+018,159,1.52847227996839E+018,88,0,0,0,0
1.52847228002877E+018,160,1.52847228002841E+018,148,0,0,0,0
1.52847228008676E+018,161,1.52847228008641E+018,208,0,0,0,0
1.52847228010887E+018,162,1.52847228010848E+018,228,0,0,0,0
1.52847228016854E+018,163,1.52847228016825E+018,288,0,0,0,0
1.52847228022862E+018,164,1.52847228022827E+018,348,0,0,0,0
1.52847228028856E+018,165,1.52847228028824E+018,408,0,0,0,0
1.52847228034769E+018,166,1.52847228034734E+018,468,0,0,0,0
1.52847228044857E+018,167,1.52847228044828E+018,568,0,0,0,0
1.52847228050756E+018,168,1.52847228050725E+018,628,0,0,0,0
1.52847228056548E+018,169,1.52847228056519E+018,688,0,0,0,0
1.5284722805878E+018,170,1.52847228058741E+018,708,0,0,0,0
1.5284722806474E+018,171,1.52847228064713E+018,768,0,0,0,0
1.52847228070554E+018,172,1.52847228070514E+018,828,0,0,0,0
1.52847228072753E+018,173,1.52847228072719E+018,848,0,0,0,0
1.52847228078744E+018,174,1.52847228078712E+018,908,0,0,0,0
1.52847228084775E+018,175,1.52847228084734E+018,968,0,0,0,0
1.52847228090725E+018,176,1.52847228090691E+018,1028,0,0,0,0
1.52847228096737E+018,177,1.52847228096699E+018,1088,0,0,0,0
1.52847228102628E+018,178,1.52847228102598E+018,1148,0,0,0,0
1.52847228104723E+018,179,1.52847228104693E+018,1168,0,0,0,0
1.52847228106891E+018,180,1.52847228106828E+018,1188,0,0,0,0
1.52847228110743E+018,181,1.52847228110706E+018,1228,0,0,0,0
1.52847228116636E+018,182,1.528472281166E+018,1288,0,0,0,0
1.52847228122432E+018,183,1.52847228122394E+018,1348,0,0,0,0
1.52847228124622E+018,184,1.52847228124588E+018,1368,0,0,0,0
1.52847228130639E+018,185,1.52847228130603E+018,1428,0,0,0,0
1.52847228136625E+018,186,1.5284722813659E+018,1488,0,0,0,0
1.52847228142607E+018,187,1.52847228142576E+018,1548,0,0,0,0
1.5284722814864E+018,188,1.52847228148588E+018,1608,0,0,0,0
1.52847228154611E+018,189,1.52847228154579E+018,1668,0,0,0,0
1.52847228160615E+018,190,1.5284722816058E+018,1728,0,0,0,0
1.5284722816651E+018,191,1.52847228166476E+018,1788,0,0,0,0
1.52847228168624E+018,192,1.5284722816858E+018,1808,0,0,0,0
1.52847228174498E+018,193,1.52847228174466E+018,1868,0,0,0,0
1.52847228180519E+018,194,1.52847228180478E+018,1928,0,0,0,0
1.52847228186294E+018,195,1.52847228186258E+018,1988,0,0,0,0
1.52847228188493E+018,196,1.52847228188458E+018,2008,0,0,0,0
1.52847228194521E+018,197,1.52847228194482E+018,2068,0,0,0,0
1.52847228200484E+018,198,1.52847228200448E+018,2128,0,0,0,0
1.52847228206497E+018,199,1.52847228206451E+018,2188,0,0,0,0
1.5284722820859E+018,200,1.52847228208548E+018,2208,0,0,0,0
1.52847228212479E+018,201,1.52847228212451E+018,2248,0,0,0,0
1.52847228218393E+018,202,1.52847228218349E+018,2308,0,0,0,0
1.52847228220464E+018,203,1.52847228220432E+018,2328,0,0,0,0
1.52847228226367E+018,204,1.52847228226336E+018,2388,0,0,0,0
1.52847228232168E+018,205,1.52847228232133E+018,2448,0,0,0,0
1.52847228234468E+018,206,1.52847228234432E+018,2468,0,0,0,0
1.52847228240366E+018,207,1.52847228240333E+018,2528,0,0,0,0
1.52847228246368E+018,208,1.52847228246338E+018,2588,0,0,0,0
1.52847228252165E+018,209,1.5284722825213E+018,2648,0,0,0,0
1.52847228254377E+018,210,1.52847228254341E+018,2668,0,0,0,0
1.52847228260149E+018,211,1.52847228260118E+018,2728,0,0,0,0
1.52847228262351E+018,212,1.52847228262323E+018,2748,0,0,0,0
1.5284722826842E+018,213,1.52847228268346E+018,2808,0,0,0,0
1.52847228274353E+018,214,1.52847228274323E+018,2868,0,0,0,0
1.52847228280264E+018,215,1.52847228280227E+018,2928,0,0,0,0
1.52847228286051E+018,216,1.5284722828602E+018,2988,0,0,0,0
1.52847228288429E+018,217,1.52847228288373E+018,3008,0,0,0,0
1.52847228294248E+018,218,1.52847228294209E+018,3068,0,0,0,0
1.52847228300042E+018,219,1.52847228300007E+018,3128,0,0,0,0
1.52847228302259E+018,220,1.52847228302222E+018,3148,0,0,0,0
1.5284722830825E+018,221,1.52847228308213E+018,3208,0,0,0,0
1.5284722831404E+018,222,1.52847228314009E+018,3268,0,0,0,0
1.52847228316269E+018,223,1.52847228316227E+018,3288,0,0,0,0
1.5284722832224E+018,224,1.52847228322201E+018,3348,0,0,0,0
1.52847228328272E+018,225,1.52847228328225E+018,3408,0,0,0,0
1.5284722833423E+018,226,1.528472283342E+018,3468,0,0,0,0
1.52847228340246E+018,227,1.5284722834021E+018,3528,0,0,0,0
1.52847228346125E+018,228,1.52847228346094E+018,3588,0,0,0,0
1.52847228348222E+018,229,1.5284722834819E+018,3608,0,0,0,0
1.52847228354145E+018,230,1.52847228354111E+018,3668,0,0,0,0
1.5284722836013E+018,231,1.52847228360099E+018,3728,0,0,0,0
1.52847228365941E+018,232,1.52847228365901E+018,3788,0,0,0,0
1.52847228368118E+018,233,1.52847228368087E+018,3808,0,0,0,0
1.52847228374116E+018,234,1.52847228374084E+018,3868,0,0,0,0
1.5284722838012E+018,235,1.52847228380086E+018,3928,0,0,0,0
1.52847228386127E+018,236,1.52847228386089E+018,3988,0,0,0,0
1.52847228392128E+018,237,1.52847228392084E+018,4048,0,0,0,0
1.52847228398109E+018,238,1.52847228398078E+018,4108,0,0,0,0
1.52847228404114E+018,239,1.52847228404081E+018,4168,0,0,0,0
1.5284722840999E+018,240,1.5284722840996E+018,4228,0,0,0,0
1.52847228412096E+018,241,1.52847228412063E+018,4248,0,0,0,0
1.52847228418001E+018,242,1.52847228417965E+018,4308,0,0,0,0
1.52847228423786E+018,243,1.52847228423755E+018,4368,0,0,0,0
1.52847228426097E+018,244,1.52847228426063E+018,4388,0,0,0,0
1.52847228431993E+018,245,1.52847228431961E+018,4448,0,0,0,0
1.52847228438024E+018,246,1.52847228437984E+018,4508,0,0,0,0
1.52847228443982E+018,247,1.52847228443949E+018,4568,0,0,0,0
1.52847228449994E+018,248,1.52847228449957E+018,4628,0,0,0,0
1.52847228455987E+018,249,1.52847228455952E+018,4688,0,0,0,0
1.52847228461988E+018,250,1.52847228461952E+018,4748,0,0,0,0
1.52847228467988E+018,251,1.52847228467953E+018,4808,0,0,0,0
1.52847228473877E+018,252,1.52847228473849E+018,4868,0,0,0,0
1.52847228479684E+018,253,1.52847228479649E+018,4928,0,0,0,0
1.5284722848187E+018,254,1.52847228481837E+018,4948,0,0,0,0
1.52847228487874E+018,255,1.52847228487841E+018,5008,0,0,0,0
1.5284722849367E+018,256,1.52847228493632E+018,5068,0,0,0,0
1.52847228495869E+018,257,1.52847228495835E+018,5088,0,0,0,0
1.52847228501674E+018,258,1.52847228501636E+018,5148,0,0,0,0
1.52847228503869E+018,259,1.52847228503838E+018,5168,0,0,0,0
1.52847228509868E+018,260,1.52847228509835E+018,5228,0,0,0,0
1.52847228515655E+018,261,1.52847228515622E+018,5288,0,0,0,0
1.52847228517861E+018,262,1.52847228517832E+018,5308,0,0,0,0
1.52847228523753E+018,263,1.52847228523723E+018,5368,0,0,0,0
1.52847228525873E+018,264,1.52847228525836E+018,5388,0,0,0,0
1.52847228531843E+018,265,1.52847228531811E+018,5448,0,0,0,0
1.52847228537755E+018,266,1.52847228537718E+018,5508,0,0,0,0
1.52847228539839E+018,267,1.52847228539806E+018,5528,0,0,0,0
1.52847228545741E+018,268,1.5284722854571E+018,5588,0,0,0,0
1.52847228551746E+018,269,1.52847228551713E+018,5648,0,0,0,0
1.52847228557543E+018,270,1.52847228557508E+018,5708,0,0,0,0
1.52847228559763E+018,271,1.52847228559725E+018,5728,0,0,0,0
1.52847228565548E+018,272,1.52847228565507E+018,5788,0,0,0,0
1.5284722856773E+018,273,1.528472285677E+018,5808,0,0,0,0
1.52847228573743E+018,274,1.52847228573707E+018,5868,0,0,0,0
1.52847228579526E+018,275,1.52847228579493E+018,5928,0,0,0,0
1.52847228581731E+018,276,1.52847228581701E+018,5948,0,0,0,0
1.52847228587629E+018,277,1.52847228587599E+018,6008,0,0,0,0
1.5284722858973E+018,278,1.52847228589697E+018,6028,0,0,0,0
1.52847228595731E+018,279,1.52847228595698E+018,6088,0,0,0,0
1.52847228601632E+018,280,1.528472286016E+018,6148,0,0,0,0
1.52847228607418E+018,281,1.52847228607384E+018,6208,0,0,0,0
1.52847228609641E+018,282,1.52847228609604E+018,6228,0,0,0,0
1.52847228615627E+018,283,1.52847228615592E+018,6288,0,0,0,0
1.52847228621422E+018,284,1.52847228621382E+018,6348,0,0,0,0
1.52847228623622E+018,285,1.52847228623585E+018,6368,0,0,0,0
1.52847228629406E+018,286,1.52847228629372E+018,6428,0,0,0,0
1.52847228631593E+018,287,1.52847228631561E+018,6448,0,0,0,0
1.52847228637603E+018,288,1.52847228637565E+018,6508,0,0,0,0
1.52847228643388E+018,289,1.52847228643358E+018,6568,0,0,0,0
1.52847228645622E+018,290,1.52847228645585E+018,6588,0,0,0,0
1.52847228651479E+018,291,1.52847228651449E+018,6648,0,0,0,0
1.52847228653581E+018,292,1.52847228653551E+018,6668,0,0,0,0
1.52847228659593E+018,293,1.52847228659559E+018,6728,0,0,0,0
1.52847228665493E+018,294,1.5284722866545E+018,6788,0,0,0,0
1.52847228671301E+018,295,1.52847228671254E+018,6848,0,0,0,0
1.52847228673497E+018,296,1.52847228673459E+018,6868,0,0,0,0
1.52847228679477E+018,297,1.52847228679442E+018,6928,0,0,0,0
1.52847228685284E+018,298,1.52847228685243E+018,6988,0,0,0,0
1.52847228687464E+018,299,1.52847228687435E+018,7008,0,0,0,0
1.52847228693263E+018,300,1.52847228693231E+018,7068,0,0,0,0
1.52847228695472E+018,301,1.52847228695437E+018,7088,0,0,0,0
1.52847228701456E+018,302,1.52847228701424E+018,7148,0,0,0,0
1.52847228707268E+018,303,1.52847228707227E+018,7208,0,0,0,0
1.52847228709484E+018,304,1.52847228709441E+018,7228,0,0,0,0
1.52847228715355E+018,305,1.52847228715324E+018,7288,0,0,0,0
1.52847228717455E+018,306,1.52847228717424E+018,7308,0,0,0,0
1.52847228723454E+018,307,1.52847228723417E+018,7368,0,0,0,0
