%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.angular.z
1.52847227601648E+018,2093,1.52847227601607E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227607506E+018,2094,1.52847227607418E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227609768E+018,2095,1.52847227609715E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.5284722761567E+018,2096,1.52847227615621E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227621636E+018,2097,1.52847227621591E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227627529E+018,2098,1.5284722762741E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227629654E+018,2099,1.52847227629601E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227635432E+018,2100,1.52847227635391E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227637646E+018,2101,1.52847227637593E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
1.52847227643642E+018,2102,1.52847227643597E+018,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,10000000000,0,0,0,0,0,0,0.05,0,0,0
