%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.5284728724715E+018,0,1.5284728724712E+018,33340,0,0,0,0
1.52847287253053E+018,1,1.52847287253014E+018,33400,0,0,0,0
1.52847287255139E+018,2,1.52847287255101E+018,33420,0,0,0,0
1.52847287261067E+018,3,1.52847287261017E+018,33480,0,0,0,0
1.52847287267082E+018,4,1.52847287267035E+018,33540,0,0,0,0
1.52847287272855E+018,5,1.52847287272808E+018,33600,0,0,0,0
1.52847287275047E+018,6,1.52847287275007E+018,33620,0,0,0,0
1.52847287280867E+018,7,1.52847287280821E+018,33680,0,0,0,0
1.52847287283041E+018,8,1.52847287283002E+018,33700,0,0,0,0
1.52847287289053E+018,9,1.52847287289003E+018,33760,0,0,0,0
1.5284728729485E+018,10,1.528472872948E+018,33820,0,0,0,0
1.52847287297088E+018,11,1.52847287297034E+018,33840,0,0,0,0
1.52847287302941E+018,12,1.52847287302899E+018,33900,0,0,0,0
1.52847287305051E+018,13,1.52847287305009E+018,33920,0,0,0,0
1.52847287310941E+018,14,1.528472873109E+018,33980,0,0,0,0
1.52847287316942E+018,15,1.528472873169E+018,34040,0,0,0,0
1.52847287322736E+018,16,1.52847287322688E+018,34100,0,0,0,0
1.52847287324922E+018,17,1.52847287324884E+018,34120,0,0,0,0
1.52847287330928E+018,18,1.52847287330886E+018,34180,0,0,0,0
1.52847287336919E+018,19,1.52847287336886E+018,34240,0,0,0,0
1.52847287342942E+018,20,1.52847287342899E+018,34300,0,0,0,0
1.52847287348916E+018,21,1.52847287348877E+018,34360,0,0,0,0
1.52847287354822E+018,22,1.52847287354777E+018,34420,0,0,0,0
1.52847287356923E+018,23,1.52847287356883E+018,34440,0,0,0,0
1.52847287362811E+018,24,1.52847287362771E+018,34500,0,0,0,0
1.52847287368822E+018,25,1.52847287368779E+018,34560,0,0,0,0
1.52847287374585E+018,26,1.52847287374552E+018,34620,0,0,0,0
1.52847287376807E+018,27,1.52847287376764E+018,34640,0,0,0,0
1.5284728738281E+018,28,1.52847287382761E+018,34700,0,0,0,0
1.52847287388807E+018,29,1.52847287388768E+018,34760,0,0,0,0
1.52847287394791E+018,30,1.52847287394751E+018,34820,0,0,0,0
1.5284728740078E+018,31,1.52847287400747E+018,34880,0,0,0,0
1.52847287406686E+018,32,1.5284728740665E+018,34940,0,0,0,0
1.5284728740878E+018,33,1.52847287408745E+018,34960,0,0,0,0
1.52847287414682E+018,34,1.52847287414646E+018,35020,0,0,0,0
1.52847287420476E+018,35,1.52847287420432E+018,35080,0,0,0,0
1.52847287422785E+018,36,1.52847287422738E+018,35100,0,0,0,0
1.52847287428686E+018,37,1.52847287428643E+018,35160,0,0,0,0
1.52847287434471E+018,38,1.5284728743443E+018,35220,0,0,0,0
1.52847287436691E+018,39,1.52847287436647E+018,35240,0,0,0,0
1.52847287442683E+018,40,1.52847287442639E+018,35300,0,0,0,0
1.52847287448486E+018,41,1.52847287448432E+018,35360,0,0,0,0
1.52847287450675E+018,42,1.52847287450628E+018,35380,0,0,0,0
1.52847287456668E+018,43,1.52847287456627E+018,35440,0,0,0,0
1.52847287462664E+018,44,1.52847287462624E+018,35500,0,0,0,0
1.52847287468556E+018,45,1.52847287468518E+018,35560,0,0,0,0
1.52847287474353E+018,46,1.5284728747431E+018,35620,0,0,0,0
1.52847287476669E+018,47,1.52847287476634E+018,35640,0,0,0,0
1.52847287482555E+018,48,1.52847287482512E+018,35700,0,0,0,0
1.52847287488338E+018,49,1.52847287488305E+018,35760,0,0,0,0
1.52847287490548E+018,50,1.52847287490504E+018,35780,0,0,0,0
1.52847287496616E+018,51,1.52847287496556E+018,35840,0,0,0,0
1.52847287502356E+018,52,1.52847287502306E+018,35900,0,0,0,0
1.52847287504529E+018,53,1.52847287504496E+018,35920,0,0,0,0
1.52847287510522E+018,54,1.52847287510485E+018,35980,0,0,0,0
1.52847287516591E+018,55,1.52847287516517E+018,36040,0,0,0,0
1.52847287522527E+018,56,1.52847287522488E+018,36100,0,0,0,0
1.52847287528543E+018,57,1.52847287528498E+018,36160,0,0,0,0
1.52847287534406E+018,58,1.52847287534369E+018,36220,0,0,0,0
1.52847287536525E+018,59,1.52847287536478E+018,36240,0,0,0,0
1.52847287542408E+018,60,1.52847287542371E+018,36300,0,0,0,0
1.52847287548409E+018,61,1.52847287548371E+018,36360,0,0,0,0
1.52847287554208E+018,62,1.52847287554168E+018,36420,0,0,0,0
1.5284728755641E+018,63,1.52847287556374E+018,36440,0,0,0,0
1.52847287562212E+018,64,1.52847287562172E+018,36500,0,0,0,0
1.5284728756442E+018,65,1.52847287564383E+018,36520,0,0,0,0
1.52847287570395E+018,66,1.5284728757036E+018,36580,0,0,0,0
1.52847287576235E+018,67,1.52847287576201E+018,36640,0,0,0,0
1.528472875784E+018,68,1.5284728757836E+018,36660,0,0,0,0
1.52847287584306E+018,69,1.5284728758427E+018,36720,0,0,0,0
1.52847287586403E+018,70,1.52847287586365E+018,36740,0,0,0,0
1.52847287592398E+018,71,1.52847287592348E+018,36800,0,0,0,0
