%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847372219395E+018,0,1.52847372219356E+018,44980,0,0,0,0
1.52847372221605E+018,1,1.52847372221575E+018,45000,0,0,0,0
1.52847372227599E+018,2,1.52847372227558E+018,45060,0,0,0,0
1.52847372233384E+018,3,1.52847372233342E+018,45120,0,0,0,0
1.52847372235583E+018,4,1.52847372235542E+018,45140,0,0,0,0
1.52847372241575E+018,5,1.5284737224154E+018,45200,0,0,0,0
1.52847372247585E+018,6,1.52847372247543E+018,45260,0,0,0,0
1.52847372253569E+018,7,1.52847372253528E+018,45320,0,0,0,0
1.52847372259575E+018,8,1.52847372259534E+018,45380,0,0,0,0
1.52847372265468E+018,9,1.52847372265427E+018,45440,0,0,0,0
1.52847372271267E+018,10,1.52847372271224E+018,45500,0,0,0,0
1.52847372273465E+018,11,1.5284737227343E+018,45520,0,0,0,0
1.52847372279478E+018,12,1.52847372279434E+018,45580,0,0,0,0
1.52847372285258E+018,13,1.52847372285214E+018,45640,0,0,0,0
1.52847372287512E+018,14,1.52847372287454E+018,45660,0,0,0,0
1.52847372293459E+018,15,1.52847372293419E+018,45720,0,0,0,0
1.52847372299454E+018,16,1.52847372299411E+018,45780,0,0,0,0
1.5284737230547E+018,17,1.52847372305421E+018,45840,0,0,0,0
1.52847372311445E+018,18,1.52847372311406E+018,45900,0,0,0,0
1.5284737231739E+018,19,1.52847372317314E+018,45960,0,0,0,0
1.52847372319443E+018,20,1.52847372319401E+018,45980,0,0,0,0
1.52847372325348E+018,21,1.52847372325307E+018,46040,0,0,0,0
1.52847372331331E+018,22,1.52847372331292E+018,46100,0,0,0,0
1.52847372337128E+018,23,1.52847372337087E+018,46160,0,0,0,0
1.52847372339325E+018,24,1.5284737233929E+018,46180,0,0,0,0
1.52847372345132E+018,25,1.52847372345089E+018,46240,0,0,0,0
1.52847372347431E+018,26,1.5284737234735E+018,46260,0,0,0,0
1.52847372353317E+018,27,1.52847372353279E+018,46320,0,0,0,0
1.52847372359124E+018,28,1.52847372359076E+018,46380,0,0,0,0
1.52847372361324E+018,29,1.52847372361286E+018,46400,0,0,0,0
1.52847372367243E+018,30,1.52847372367201E+018,46460,0,0,0,0
1.52847372369335E+018,31,1.52847372369294E+018,46480,0,0,0,0
1.52847372375318E+018,32,1.52847372375281E+018,46540,0,0,0,0
1.5284737238122E+018,33,1.52847372381186E+018,46600,0,0,0,0
1.52847372387001E+018,34,1.52847372386962E+018,46660,0,0,0,0
1.52847372389212E+018,35,1.52847372389178E+018,46680,0,0,0,0
1.52847372395205E+018,36,1.52847372395167E+018,46740,0,0,0,0
1.52847372401212E+018,37,1.52847372401168E+018,46800,0,0,0,0
1.52847372407205E+018,38,1.52847372407167E+018,46860,0,0,0,0
1.52847372413201E+018,39,1.52847372413156E+018,46920,0,0,0,0
1.52847372419105E+018,40,1.52847372419064E+018,46980,0,0,0,0
1.52847372421189E+018,41,1.52847372421153E+018,47000,0,0,0,0
1.52847372427121E+018,42,1.52847372427059E+018,47060,0,0,0,0
1.52847372432883E+018,43,1.52847372432839E+018,47120,0,0,0,0
1.52847372435185E+018,44,1.52847372435142E+018,47140,0,0,0,0
1.52847372441096E+018,45,1.52847372441056E+018,47200,0,0,0,0
1.52847372447123E+018,46,1.52847372447053E+018,47260,0,0,0,0
1.52847372452897E+018,47,1.5284737245285E+018,47320,0,0,0,0
1.52847372455099E+018,48,1.52847372455057E+018,47340,0,0,0,0
