%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1528473722193920848,0,1528473722193477849,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722215963365,0,1528473722215553803,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722275774448,0,1528473722275409580,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722333783265,0,1528473722333331420,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722355654561,0,1528473722355358406,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722415679583,0,1528473722415331915,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722475768810,0,1528473722475365362,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722535562428,0,1528473722535221861,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722595656224,0,1528473722595270362,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722654592015,0,1528473722654196220,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722712627393,0,1528473722712169840,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722734596720,0,1528473722734245268,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722794678169,0,1528473722794259285,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722852522094,0,1528473722852062883,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722875073036,0,1528473722874433508,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722934550128,0,1528473722934114766,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473722994496433,0,1528473722994044013,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723054587394,0,1528473723054136667,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723114359266,0,1528473723113982475,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723173861566,0,1528473723173044607,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723194395325,0,1528473723193946387,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723253416522,0,1528473723253006775,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723313237398,0,1528473723312849486,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723371125651,0,1528473723370803978,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723393215863,0,1528473723392847732,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723451220741,0,1528473723450800871,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723473962865,0,1528473723473077994,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723533127629,0,1528473723532736831,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723591076016,0,1528473723590677746,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723613204271,0,1528473723612807063,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723672379555,0,1528473723671864710,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723693297151,0,1528473723692850393,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723753124748,0,1528473723752747055,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723812154635,0,1528473723811703978,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723869891122,0,1528473723869547673,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723891915086,0,1528473723891625126,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473723951983900,0,1528473723951600258,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724011970138,0,1528473724011616220,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724071945206,0,1528473724071507103,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724131809457,0,1528473724131488951,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724191013166,0,1528473724190522036,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724211847751,0,1528473724211476457,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724270965436,0,1528473724270514283,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724328783066,0,1528473724328328235,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724351801078,0,1528473724351360570,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724410922893,0,1528473724410477368,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724471194546,0,1528473724470402630,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724528915021,0,1528473724528397560,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724550952336,0,1528473724550482580,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724608784193,0,1528473724608317139,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724630592950,0,1528473724630218209,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724690660671,0,1528473724690279766,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724750648894,0,1528473724750210260,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724809652777,0,1528473724809256936,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724867532395,0,1528473724867169210,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724890737599,0,1528473724890309850,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724906712264,0,1528473724906170161,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724929603733,0,1528473724929214614,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473724988373294,0,1528473724987500516,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725009470686,0,1528473725009139515,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725069520777,0,1528473725069135265,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725127379892,0,1528473725127048671,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725149714605,0,1528473725149248943,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725209544020,0,1528473725209127046,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725269674968,0,1528473725269224271,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725328342222,0,1528473725327987021,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725349303123,0,1528473725348946424,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725409500545,0,1528473725409032423,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725468352160,0,1528473725467972753,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725526404728,0,1528473725525964360,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725548309962,0,1528473725547952987,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725608306424,0,1528473725607978055,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725668265329,0,1528473725667881291,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725728192651,0,1528473725727855362,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725788255406,0,1528473725787890127,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725847156962,0,1528473725846821983,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725868186737,0,1528473725867835170,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725928072846,0,1528473725927855258,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473725987881507,0,1528473725987073158,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726045111378,0,1528473726044728638,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726067243612,0,1528473726066796138,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726127116694,0,1528473726126756321,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726185017110,0,1528473726184577174,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726207045314,0,1528473726206631643,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726265030732,0,1528473726264565887,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726287698359,0,1528473726286922054,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726345992600,0,1528473726345625978,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726403889965,0,1528473726403521037,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726426985190,0,1528473726426621108,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726486064827,0,1528473726485694584,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726543954313,0,1528473726543568797,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726565852687,0,1528473726565519086,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726626016245,0,1528473726625559670,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726683880087,0,1528473726683425802,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726705934286,0,1528473726705501249,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726765939232,0,1528473726765521376,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726825689845,0,1528473726825333707,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1528473726885829188,0,1528473726885435778,odom,base_footprint,0.0,0.0,0.0,0.0,0.0,-8.7266462489e-05,0.999999996192
1528473726945701633,0,1528473726945339034,odom,base_footprint,-0.00132202734903,2.30737302763e-07,0.0,0.0,0.0,-0.000174532924313,0.999999984769
1528473727004814016,0,1528473727004392917,odom,base_footprint,-0.00264405463766,6.92211901262e-07,0.0,0.0,0.0,-0.000174532924313,0.999999984769
1528473727062485017,0,1528473727062146133,odom,base_footprint,-0.00417931213413,1.22811788661e-06,0.0,0.0,0.0,0.0,1.0
1528473727084771417,0,1528473727084286947,odom,base_footprint,-0.00469106466413,1.22811788661e-06,0.0,0.0,0.0,0.0,1.0
1528473727144674197,0,1528473727144251190,odom,base_footprint,-0.00648219851914,1.22811788661e-06,0.0,0.0,0.0,0.0,1.0
1528473727202592586,0,1528473727202180407,odom,base_footprint,-0.00835862446247,1.22811788661e-06,0.0,0.0,0.0,0.0,1.0
1528473727224876390,0,1528473727224374841,odom,base_footprint,-0.00878508490414,1.22811788661e-06,0.0,0.0,0.0,-8.7266462489e-05,0.999999996192
1528473727284655775,0,1528473727284259123,odom,base_footprint,-0.0103203424708,1.49607088337e-06,0.0,0.0,0.0,-0.00034906584331,0.999999939077
1528473727344921840,0,1528473727344387024,odom,base_footprint,-0.0118982457204,2.59765534171e-06,0.0,0.0,0.0,-0.000261799384809,0.999999965731
