%time,field.header.seq,field.header.stamp,field.time_stamp,field.left_encoder,field.right_encoder,field.left_pwm,field.right_pwm
1.52847323585954E+018,0,1.52847323585908E+018,14360,0,0,0,0
1.52847323591923E+018,1,1.52847323591891E+018,14420,0,0,0,0
1.5284732359782E+018,2,1.52847323597786E+018,14480,0,0,0,0
1.52847323603811E+018,3,1.5284732360378E+018,14540,0,0,0,0
1.52847323609603E+018,4,1.5284732360957E+018,14600,0,0,0,0
1.52847323611834E+018,5,1.5284732361179E+018,14620,0,0,0,0
1.52847323617817E+018,6,1.5284732361778E+018,14680,0,0,0,0
1.52847323623814E+018,7,1.52847323623775E+018,14740,0,0,0,0
1.52847323629797E+018,8,1.5284732362976E+018,14800,0,0,0,0
1.52847323635813E+018,9,1.52847323635769E+018,14860,0,0,0,0
1.5284732364171E+018,10,1.52847323641671E+018,14920,0,0,0,0
1.52847323643803E+018,11,1.52847323643764E+018,14940,0,0,0,0
1.52847323649716E+018,12,1.52847323649673E+018,15000,0,0,0,0
1.52847323655504E+018,13,1.52847323655458E+018,15060,0,0,0,0
1.52847323657796E+018,14,1.52847323657756E+018,15080,0,0,0,0
1.52847323663693E+018,15,1.52847323663653E+018,15140,0,0,0,0
1.52847323669696E+018,16,1.52847323669655E+018,15200,0,0,0,0
1.52847323675505E+018,17,1.5284732367545E+018,15260,0,0,0,0
1.52847323677692E+018,18,1.52847323677645E+018,15280,0,0,0,0
1.52847323683493E+018,19,1.52847323683453E+018,15340,0,0,0,0
1.52847323685698E+018,20,1.52847323685646E+018,15360,0,0,0,0
1.52847323691679E+018,21,1.52847323691642E+018,15420,0,0,0,0
1.52847323697689E+018,22,1.52847323697644E+018,15480,0,0,0,0
1.52847323703681E+018,23,1.52847323703642E+018,15540,0,0,0,0
1.52847323709489E+018,24,1.52847323709446E+018,15600,0,0,0,0
1.52847323711668E+018,25,1.52847323711629E+018,15620,0,0,0,0
1.52847323717568E+018,26,1.52847323717529E+018,15680,0,0,0,0
